4,1565575054,Mon Apr 20 07:04:38 PDT 2009,NO_QUERY,CharlotteMcFLY,i cried my eyes out ,4,1
4,1825007567,Sun May 17 03:56:02 PDT 2009,NO_QUERY,estrella_bby,http://twitpic.com/5cru1 - filling up those 4am cravings  super nachos &amp; horchata!,4,1
0,2250699255,Sat Jun 20 01:14:05 PDT 2009,NO_QUERY,louise_jeffrey,@andyheadworth Thanks Andy.  Just checked the BBC website &amp; they're predicting light rain from 1.00 - 4.00 in Godstone - yuk ,0,0
0,1960620358,Fri May 29 08:14:51 PDT 2009,NO_QUERY,AngsMom,Yukky  Rainy Friday  ,0,0
4,2063236545,Sun Jun 07 01:52:18 PDT 2009,NO_QUERY,treadonmydreams,"@thisisryanross Out of credit, sorry. ",4,1
0,2236816684,Fri Jun 19 04:36:01 PDT 2009,NO_QUERY,soulfultoker,"@lauratron HAY I LOVE YOU, have you been busy lately?  Will you come give me a taco-flavored kees for my upcoming birthday?  I miss you! ",0,0
0,1957560246,Fri May 29 00:53:09 PDT 2009,NO_QUERY,sandradictation,@geekinpink804  i can't.,0,0
4,2189934401,Tue Jun 16 01:18:08 PDT 2009,NO_QUERY,jazzahhh,Having fun deleting my 600 emails. WOO!! ,4,1
0,2013491604,Tue Jun 02 22:48:26 PDT 2009,NO_QUERY,pocabonitachica,"night shifts suck, i miss my baby  but #Conan was awesome tonight!",0,0
0,2049650088,Fri Jun 05 17:15:11 PDT 2009,NO_QUERY,tish_tish,sometimes I am curious just how far I can be pushed before I break. seriously wondering if I might be close to that point ,0,0
4,1984070985,Sun May 31 14:23:07 PDT 2009,NO_QUERY,eekah,Spot almost locked down!!! ,4,1
0,2236151525,Fri Jun 19 02:59:02 PDT 2009,NO_QUERY,Aniekie,"woot Grisha for round two!(sorry Igor) but, ARod v Jezza? Just kill me now ",0,0
4,1898405993,Sat May 23 18:06:14 PDT 2009,NO_QUERY,XXBreBreXX,Just Might Be Paranoid.(: Barbacue Tomorrrow. Should Be Fun! ,4,1
4,2062897125,Sun Jun 07 00:40:06 PDT 2009,NO_QUERY,hilzfuld,"@hakerem Twitter.com, ever hear of it? ",4,1
4,2066012685,Sun Jun 07 09:43:24 PDT 2009,NO_QUERY,writesfortea,"@phantom_roxs yes yes, that was the gross part that made me cry. was just picking at what I thought was a scab. I'm fine now ",4,1
4,2068496126,Sun Jun 07 14:10:48 PDT 2009,NO_QUERY,dookiegirl1,jesus i cut my hair now there are to the shoulders  but it makes me happy,4,1
0,1557438847,Sun Apr 19 04:07:10 PDT 2009,NO_QUERY,TheFirstChibi,@fiofo Hahaha yeah. Awww I miss him on the show ,0,0
4,1983363304,Sun May 31 13:00:52 PDT 2009,NO_QUERY,yanskie,pays for the groceries today. for the very first time since she got here  wooohoo ;) sooo happy  http://plurk.com/p/xh25j,4,1
4,1753449893,Sun May 10 01:41:47 PDT 2009,NO_QUERY,oregondave,@MarkBorkowski greetings- jump in pool- water is warm. But you might want to avoid shallow yellow end where @MisterNoodle and I play ,4,1
0,2286674028,Mon Jun 22 16:46:09 PDT 2009,NO_QUERY,jennBUNi,I miss @JoshyCouture ,0,0
4,2067256808,Sun Jun 07 12:01:40 PDT 2009,NO_QUERY,makencheezie,@salsforreal w00t! I'm excited for that ,4,1
0,2049159149,Fri Jun 05 16:23:53 PDT 2009,NO_QUERY,SammyTheDuck,I hateeeee GCSEs ,0,0
4,1686059036,Sun May 03 03:32:24 PDT 2009,NO_QUERY,richardepryor,@richardepryor you're the queen of Germany!! Sick of sausage yet? ,4,1
0,1883322302,Fri May 22 08:22:00 PDT 2009,NO_QUERY,jhennie3,i have to sleep now. gotta get up early tomorrow. . dang! its saturday! another busy day day. . ,0,0
4,1963593850,Fri May 29 12:57:40 PDT 2009,NO_QUERY,ArikaL,@retrorewind Thx Dave - Love this song and it's just the motivation I needed to get my butt in gear! ,4,1
0,1827030794,Sun May 17 09:50:40 PDT 2009,NO_QUERY,kimmymolinaro,woke up today with the toothache from HELL. broke down and called a dentist. heres to f-ing up my credit financing dental work... ,0,0
4,1989694641,Mon Jun 01 02:28:34 PDT 2009,NO_QUERY,kimmzi,@asdosanjh thank you ,4,1
4,1963778158,Fri May 29 13:14:04 PDT 2009,NO_QUERY,RevLudoface,Visiting with his puppies after two long weeks in NewYork. Glad to be back with them ,4,1
4,2188431752,Mon Jun 15 21:53:18 PDT 2009,NO_QUERY,tweetfollow7,@xxkatewxx Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,4,1
0,1990189622,Mon Jun 01 04:09:17 PDT 2009,NO_QUERY,dexterperrin,gmail's spam filter has been circumnavigated ,0,0
0,2266036652,Sun Jun 21 07:47:06 PDT 2009,NO_QUERY,laughingmood,just talked to my dad. I wish I could see him today. ,0,0
0,2055705724,Sat Jun 06 09:48:26 PDT 2009,NO_QUERY,hoanghuynh,Just *accidentally* got my public_html folder deleted ,0,0
0,2050456456,Fri Jun 05 18:42:04 PDT 2009,NO_QUERY,theboohi,@mwilliams Campus power outage. We have to shut everything down. Our generator isn't installed yet ,0,0
0,1963371778,Fri May 29 12:37:23 PDT 2009,NO_QUERY,chelseaharrison,I'm at work and I'm still sick and I'm really pissed off about Sunday!!! ,0,0
0,1753414987,Sun May 10 01:31:26 PDT 2009,NO_QUERY,Katie_Locker,Oh dear. I'm ill. A very ill Girl ,0,0
4,1979882421,Sun May 31 04:53:10 PDT 2009,NO_QUERY,peterb,@ancilla You can usually Priceline a hotel in Toronto for about $US 50.  Next time you go ask me for food recommendations ,4,1
4,2045919297,Fri Jun 05 11:25:53 PDT 2009,NO_QUERY,liishadoll,grad dinner/dance tonight .. should be interesting. ,4,1
0,1970134500,Sat May 30 02:35:42 PDT 2009,NO_QUERY,missBeckychan,"@AppleKhor hehe thx, but I'm looking for someone to move in with ME, still home-sitting. Noone wants to move out to Baulkham hills ",0,0
4,1573255674,Tue Apr 21 00:21:26 PDT 2009,NO_QUERY,SusanPAus,@jcamalari Oh yes..and..the Brady Bunch you badass. ,4,1
0,1753222643,Sun May 10 00:38:16 PDT 2009,NO_QUERY,twebbstack,i need a comment off a SS member... im having withdrawals. ,0,0
4,1882953397,Fri May 22 07:45:59 PDT 2009,NO_QUERY,xxsabrinaxx,@jacobmeadrocks: Awwwwwww  &lt;3 *muwaaaaaa* urz is sooo sweet!,4,1
0,2254144671,Sat Jun 20 09:17:46 PDT 2009,NO_QUERY,LollaLovell,@EVILMOMENTS Well i didnt mean it that way ,0,0
4,2185534882,Mon Jun 15 17:31:34 PDT 2009,NO_QUERY,katielovesmcfly,Still can't believe mcfly came on with the jo bros tonight! And were on jimmy kimmel live! ,4,1
